GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final_homework,com.homework.generator,ItemGenerator.new Thread() {...},7,52,2,2,4,12,2,2,0,2
final_homework,com.homework.generator,MonstersGenerator,0,30,0,0,0,12,0,4,0,4
final_homework,com.homework.generator,MonstersGenerator.new Thread() {...},23,127,3,11,4,21,3,6,0,2
final_homework,com.homework.generator,ItemGenerator,0,23,0,0,0,9,0,2,0,2
final_homework,com.homework.generator,BulletGenerator,0,23,0,0,0,9,0,2,0,2
final_homework,com.homework.generator,BulletGenerator.new Thread() {...},74,144,7,13,5,14,7,5,0,2
final_homework,com.homework.world,Esc,3,13,0,2,1,5,1,4,1,3
final_homework,com.homework.world,Player,0,102,2,10,0,27,2,14,0,10
final_homework,com.homework.world,Monster,23,216,6,28,6,37,6,19,0,8
final_homework,com.homework.world,Wall,0,55,0,8,0,13,0,9,0,5
final_homework,com.homework.world,Bullet,157,257,60,41,17,59,35,28,0,11
final_homework,com.homework.world,World,62,244,5,11,16,64,4,23,1,18
final_homework,com.homework.world,Item,0,54,0,4,0,18,0,7,0,5
final_homework,com.homework.world,Creature,0,119,0,10,0,28,0,16,0,11
final_homework,com.homework.world,MapPath,26,9,2,0,8,4,3,3,2,3
final_homework,com.homework.multiplayer,Server,272,90,21,7,79,21,14,9,3,6
final_homework,com.homework.multiplayer,Client,122,0,4,0,41,0,7,0,5,0
final_homework,com.homework.multiplayer,Server.new Component() {...},0,6,0,0,0,1,0,1,0,1
final_homework,com.homework.loadsave,GameRecord,53,65,4,2,19,19,5,5,3,4
final_homework,com.homework.loadsave,GameSave,27,29,3,1,9,10,3,2,1,2
final_homework,com.homework.loadsave,PlayRecord,147,16,8,2,17,6,6,4,2,3
final_homework,com.homework.loadsave,GameLoad,63,3,4,0,22,1,4,1,2,1
final_homework,com.homework,MainApplication,105,0,8,0,34,0,10,0,6,0
final_homework,com.homework.screen,StartScreen,76,529,19,55,15,70,16,27,0,6
final_homework,com.homework.screen,ServerScreen,144,388,15,22,31,77,16,12,2,6
final_homework,com.homework.screen,ClientScreen,263,0,26,0,54,0,20,0,7,0
final_homework,com.homework.screen,RecordScreen,110,0,6,0,33,0,8,0,5,0
final_homework,com.homework.screen,PlayScreen,58,590,31,46,20,100,23,30,0,12
final_homework,com.homework.screen,WinScreen,3,91,0,0,1,14,1,1,1,1
final_homework,com.homework.screen,LoseScreen,20,92,1,1,3,16,2,2,1,2
